date,block,S_raw,O_raw,R_raw,L_raw,S_z,O_z,R_z,L_z,N,G,q95,qualifies
2021-01-01,,,4.070000000000007,,,,,,,,,,False
2021-01-02,,,7.0,,,,,,,,,,False
2021-01-03,,,2.924999999999997,,,,,,,,,,False
2021-01-04,,,5.804999999999993,,,,,,,,,,False
2021-01-05,,,2.6300000000000097,,,,,,,,,,False
2021-01-06,,,11.059999999999988,,,,,,,,,,False
2021-01-07,,,19.055000000000007,,,,,,,,,,False
2021-01-08,,0.3433305850276316,11.889999999999986,,,,,,,,,,False
2021-01-09,,0.2080004165683981,4.289999999999992,,,,,,,,,,False
2021-01-10,,0.18284829622538934,4.150000000000006,,,,,,,,,,False
2021-01-11,,0.014311710045459955,-1.3499999999999943,,,,,,,,,,False
2021-01-12,,0.07500341180324768,13.340000000000003,-0.030000000000000013,,,,,,,,,False
2021-01-13,,0.004870259260057566,15.794999999999987,-0.010000000000000009,,,,,,,,,False
2021-01-14,,0.004245065836821351,31.14500000000001,-0.0,,,,,,,,,False
2021-01-15,,-0.13328277578137562,11.904999999999973,-0.01999999999999999,,,,,,,,,False
2021-01-16,,-0.0716036681383623,19.51000000000002,0.010000000000000009,,,,,,,,,False
2021-01-17,,-0.08835763341116357,11.600000000000023,0.010000000000000009,,,,,,,,,False
2021-01-18,,0.13004743979516664,0.539999999999992,0.010000000000000009,,,,,,,,,False
2021-01-19,,0.06544669049417773,9.5,0.010000000000000009,,,,,,,,,False
2021-01-20,,-0.0026001880232596336,-1.6899999999999977,-0.0,,,,,,,,,False
2021-01-21,,-0.23415442230317016,-13.769999999999996,0.010000000000000009,,,,,,,,,False
2021-01-22,,-0.11019669711049304,1.0250000000000057,0.010000000000000009,,,,,,,,,False
2021-01-23,,-0.14766448810159208,,0.03,,,,,,,,,False
2021-01-24,,-0.12392118329210774,-17.459999999999994,0.03,,,,,,,,,False
2021-01-25,,-0.06488762838158169,4.349999999999994,0.03,,,,,,,,,False
2021-01-26,,-0.1554874990304624,-5.840000000000003,-0.0,,,,,,,,,False
2021-01-27,,-0.12789010180249413,-10.834999999999994,0.030000000000000013,,,,,,,,,False
2021-01-28,,0.042226882323478626,-7.070000000000007,0.010000000000000009,,,,,,,,,False
2021-01-29,,0.10712860324284897,1.710000000000008,0.010000000000000009,,,,,,,,,False
2021-01-30,,0.05559764323707043,,0.020000000000000004,,,,,,,,,False
2021-01-31,,0.03599191538134825,2.1099999999999994,0.020000000000000004,,,,,,,,,False
2021-02-01,,-0.013362470090618936,2.9000000000000057,0.020000000000000004,0.29119848258956954,,,,,,,,False
2021-02-02,,0.08905772343683467,1.990000000000009,0.020000000000000004,0.2735079315481608,,,,,,,,False
2021-02-03,,0.19617873594860857,4.474999999999994,-0.0,0.23726551180108416,,,,,,,,False
2021-02-04,,0.1300598753556548,6.070000000000007,0.009999999999999995,0.19238195191786114,,,,,,,,False
2021-02-05,,0.04806379006296214,5.290000000000006,0.009999999999999995,0.2671142477635835,,,,,,,,False
2021-02-06,,0.17889786955648043,6.799999999999997,0.020000000000000004,0.2535769516841989,,,,,,,,False
